ten mladý muž (1.p.),der junge Mann,
ten mladý muž (2.p.),des jungen Mannes,
ten mladý muž (3.p.),dem jungen Mann,
ten mladý muž (4.p.),den jungen Mann,
ti mladí muži (1.p.),die jungen Männer,
ti mladí muži (2.p.),der jungen Männer,
ti mladí muži (3.p.),den jungen Männern,
ti mladí muži (4.p.),die jungen Männer,
to malé dítě (1.p.),das kleine Kind,
to malé dítě (2.p.),des kleinen Kindes,
to malé dítě (3.p.),dem kleinen Kind,
to malé dítě (4.p.),das kleine Kind,
ty malé děti (1.p.),die kleinen Kinder,
ty malé děti (2.p.),der kleinen Kinder,
ty malé děti (3.p.),den kleinen Kindern,
ty malé děti (4.p.),die kleinen Kinder,
ta mladá žena (1.p.),die junge Frau,
ta mladá žena (2.p.),der jungen Frau,
ta mladá žena (3.p.),der jungen Frau,
ta mladá žena (4.p.),die junge Frau,
ty mladé ženy (1.p.),die jungen Frauen,
ty mladé ženy (2.p.),der jungen Frauen,
ty mladé ženy (3.p.),den jungen Frauen,
ty mladé ženy (4.p.),die jungen Frauen,
ten černý stůl (1.p.),der schwarze Tisch,
ten černý stůl (2.p.),des schwarzen Tisches,
ten černý stůl (3.p.),dem schwarzen Tisch,
ten černý stůl (4.p.),den schwarzen Tisch,
ty černé stoly (1.p.),die schwarzen Tische,
ty černé stoly (2.p.),der schwarzen Tische,
ty černé stoly (3.p.),den schwarzen Tischen,
ty černé stoly (4.p.),die schwarzen Tische,
to černé auto (1.p.),das schwarze Auto,
to černé auto (2.p.),des schwarzen Autos,
to černé auto (3.p.),dem schwarzen Auto,
to černé auto (4.p.),das schwarze Auto,
ty malé auta (1.p.),die kleinen Autos,
ty malé auta (2.p.),der kleinen Autos,
ty malé auta (3.p.),den kleinen Autos,
ty malé auta (4.p.),die kleinen Autos,
ta černá barva (1.p.),die schwarze Farbe,
ta černá barva (2.p.),der schwarzen Farbe,
ta černá barva (3.p.),der schwarzen Farbe,
ta černá barva (4.p.),die schwarze Farbe,
ty staré barvy (1.p.),die alten Farben,
ty staré barvy (2.p.),der alten Farben,
ty staré barvy (3.p.),den alten Farben,
ty staré barvy (4.p.),die alten Farben,
ten starý lékař (1.p.),der alte Arzt,
ten starý lékař (2.p.),des alten Arztes,
ten starý lékař (3.p.),dem alten Arzt,
ten starý lékař  (4.p.),den alten Arzt,
ti staří lékaři (1.p.),die alten Ärzte,
ti staří lékaři (2.p.),der alten Ärzte,
ti staří lékaři (3.p.),den alten Ärzten,
ti staří lékaři (4.p.),die alten Ärzte,
ten černý dům (1.p.),das schwarze Haus,
ten černý dům (2.p.),des schwarzen Hauses,
ten černý dům (3.p.),dem schwarzen Haus,
ten černý dům (4.p.),das schwarze Haus,
ty červené domy (1.p.),die roten Häuser,
ty červené domy (2.p.),der roten Häuser,
ty červené domy (3.p.),den roten Häusern,
ty červené domy (4.p.),die roten Häuser,
ta stará adresa (1.p.),die alte Adresse,
ta stará adresa (2.p.),der alten Adresse,
ta stará adresa (3.p.),der alten Adresse,
ta stará adresa (4.p.),die alte Adresse,
ty krátké adresy (1.p.),die kurzen Adressen,
ty krátké adresy (2.p.),der kurzen Adressen,
ty krátké adresy (3.p.),den kurzen Adressen,
ty krátké adresy (4.p.),die kurzen Adressen,
to červené jablko (1.p.),der rote Apfel,
to červené jablko (2.p.),des roten Apfels, Apfel patří mezi podstatná jména kde se genitiv tvoří pouhým přidáním "-s""(nikoli ""-es"") protože slovo už končí na ""-el""
to červené jablko (3.p.),dem roten Apfel,
to červené jablko (4.p.),den roten Apfel,
ty staré jablka (1.p.),die alten Äpfel,
ty staré jablka (2.p.),der alten Äpfel,
